"cid_hex","glyph","uname"
"u/19b7","ᦷ","new tai lue vowel sign o"
"u/19b8","ᦸ","new tai lue vowel sign oa"
"u/19b9","ᦹ","new tai lue vowel sign ue"
"u/19ba","ᦺ","new tai lue vowel sign ay"
"u/19bb","ᦻ","new tai lue vowel sign aay"
"u/19bc","ᦼ","new tai lue vowel sign uy"
"u/19bd","ᦽ","new tai lue vowel sign oy"
"u/19be","ᦾ","new tai lue vowel sign oay"
"u/19bf","ᦿ","new tai lue vowel sign uey"
"u/19c0","ᧀ","new tai lue vowel sign iy"
"u/19c1","ᧁ","new tai lue letter final v"
"u/19c2","ᧂ","new tai lue letter final ng"
"u/19c3","ᧃ","new tai lue letter final n"
"u/19c4","ᧄ","new tai lue letter final m"
"u/19c5","ᧅ","new tai lue letter final k"
"u/19c6","ᧆ","new tai lue letter final d"
"u/19c7","ᧇ","new tai lue letter final b"
"u/19c8","ᧈ","new tai lue tone mark-1"
"u/19c9","ᧉ","new tai lue tone mark-2"
"u/19d0","᧐","new tai lue digit zero"
"u/19d1","᧑","new tai lue digit one"
"u/19d2","᧒","new tai lue digit two"
"u/19d3","᧓","new tai lue digit three"
"u/19d4","᧔","new tai lue digit four"
"u/19d5","᧕","new tai lue digit five"
"u/19d6","᧖","new tai lue digit six"
"u/19d7","᧗","new tai lue digit seven"
"u/19d8","᧘","new tai lue digit eight"
"u/19d9","᧙","new tai lue digit nine"
"u/19da","᧚","new tai lue tham digit one"
"u/19de","᧞","new tai lue sign lae"
"u/19df","᧟","new tai lue sign laev"
"u/19e0","᧠","khmer symbol pathamasat"
"u/19e1","᧡","khmer symbol muoy koet"
"u/19e2","᧢","khmer symbol pii koet"
"u/19e3","᧣","khmer symbol bei koet"
"u/19e4","᧤","khmer symbol buon koet"
"u/19e5","᧥","khmer symbol pram koet"
"u/19e6","᧦","khmer symbol pram-muoy koet"
"u/19e7","᧧","khmer symbol pram-pii koet"
"u/19e8","᧨","khmer symbol pram-bei koet"
"u/19e9","᧩","khmer symbol pram-buon koet"
"u/19ea","᧪","khmer symbol dap koet"
"u/19eb","᧫","khmer symbol dap-muoy koet"
"u/19ec","᧬","khmer symbol dap-pii koet"
"u/19ed","᧭","khmer symbol dap-bei koet"
"u/19ee","᧮","khmer symbol dap-buon koet"
"u/19ef","᧯","khmer symbol dap-pram koet"
"u/19f0","᧰","khmer symbol tuteyasat"
"u/19f1","᧱","khmer symbol muoy roc"
"u/19f2","᧲","khmer symbol pii roc"
"u/19f3","᧳","khmer symbol bei roc"
"u/19f4","᧴","khmer symbol buon roc"
"u/19f5","᧵","khmer symbol pram roc"
"u/19f6","᧶","khmer symbol pram-muoy roc"
"u/19f7","᧷","khmer symbol pram-pii roc"
"u/19f8","᧸","khmer symbol pram-bei roc"
"u/19f9","᧹","khmer symbol pram-buon roc"
"u/19fa","᧺","khmer symbol dap roc"
"u/19fb","᧻","khmer symbol dap-muoy roc"
"u/19fc","᧼","khmer symbol dap-pii roc"
"u/19fd","᧽","khmer symbol dap-bei roc"
"u/19fe","᧾","khmer symbol dap-buon roc"
"u/19ff","᧿","khmer symbol dap-pram roc"
"u/1a00","ᨀ","buginese letter ka"
"u/1a01","ᨁ","buginese letter ga"
"u/1a02","ᨂ","buginese letter nga"
"u/1a03","ᨃ","buginese letter ngka"
"u/1a04","ᨄ","buginese letter pa"
"u/1a05","ᨅ","buginese letter ba"
"u/1a06","ᨆ","buginese letter ma"
"u/1a07","ᨇ","buginese letter mpa"
"u/1a08","ᨈ","buginese letter ta"
"u/1a09","ᨉ","buginese letter da"
"u/1a0a","ᨊ","buginese letter na"
"u/1a0b","ᨋ","buginese letter nra"
"u/1a0c","ᨌ","buginese letter ca"
"u/1a0d","ᨍ","buginese letter ja"
"u/1a0e","ᨎ","buginese letter nya"
"u/1a0f","ᨏ","buginese letter nyca"
"u/1a10","ᨐ","buginese letter ya"
"u/1a11","ᨑ","buginese letter ra"
"u/1a12","ᨒ","buginese letter la"
"u/1a13","ᨓ","buginese letter va"
"u/1a14","ᨔ","buginese letter sa"
"u/1a15","ᨕ","buginese letter a"
"u/1a16","ᨖ","buginese letter ha"
"u/1a17","ᨗ","buginese vowel sign i"
"u/1a18","ᨘ","buginese vowel sign u"
"u/1a19","ᨙ","buginese vowel sign e"
"u/1a1a","ᨚ","buginese vowel sign o"
"u/1a1b","ᨛ","buginese vowel sign ae"
"u/1a1e","᨞","buginese pallawa"
"u/1a1f","᨟","buginese end of section"
"u/1a20","ᨠ","tai tham letter high ka"
"u/1a21","ᨡ","tai tham letter high kha"
"u/1a22","ᨢ","tai tham letter high kxa"
"u/1a23","ᨣ","tai tham letter low ka"
"u/1a24","ᨤ","tai tham letter low kxa"
"u/1a25","ᨥ","tai tham letter low kha"
"u/1a26","ᨦ","tai tham letter nga"
"u/1a27","ᨧ","tai tham letter high ca"
"u/1a28","ᨨ","tai tham letter high cha"
"u/1a29","ᨩ","tai tham letter low ca"
"u/1a2a","ᨪ","tai tham letter low sa"
"u/1a2b","ᨫ","tai tham letter low cha"
"u/1a2c","ᨬ","tai tham letter nya"
"u/1a2d","ᨭ","tai tham letter rata"
"u/1a2e","ᨮ","tai tham letter high ratha"
"u/1a2f","ᨯ","tai tham letter da"
"u/1a30","ᨰ","tai tham letter low ratha"
"u/1a31","ᨱ","tai tham letter rana"
"u/1a32","ᨲ","tai tham letter high ta"
"u/1a33","ᨳ","tai tham letter high tha"
"u/1a34","ᨴ","tai tham letter low ta"
"u/1a35","ᨵ","tai tham letter low tha"
"u/1a36","ᨶ","tai tham letter na"
"u/1a37","ᨷ","tai tham letter ba"
"u/1a38","ᨸ","tai tham letter high pa"
"u/1a39","ᨹ","tai tham letter high pha"
"u/1a3a","ᨺ","tai tham letter high fa"
"u/1a3b","ᨻ","tai tham letter low pa"
"u/1a3c","ᨼ","tai tham letter low fa"
"u/1a3d","ᨽ","tai tham letter low pha"
"u/1a3e","ᨾ","tai tham letter ma"
"u/1a3f","ᨿ","tai tham letter low ya"
"u/1a40","ᩀ","tai tham letter high ya"
"u/1a41","ᩁ","tai tham letter ra"
"u/1a42","ᩂ","tai tham letter rue"
"u/1a43","ᩃ","tai tham letter la"
"u/1a44","ᩄ","tai tham letter lue"
"u/1a45","ᩅ","tai tham letter wa"
"u/1a46","ᩆ","tai tham letter high sha"
"u/1a47","ᩇ","tai tham letter high ssa"
"u/1a48","ᩈ","tai tham letter high sa"
"u/1a49","ᩉ","tai tham letter high ha"
"u/1a4a","ᩊ","tai tham letter lla"
"u/1a4b","ᩋ","tai tham letter a"
"u/1a4c","ᩌ","tai tham letter low ha"
"u/1a4d","ᩍ","tai tham letter i"
"u/1a4e","ᩎ","tai tham letter ii"
"u/1a4f","ᩏ","tai tham letter u"
"u/1a50","ᩐ","tai tham letter uu"
"u/1a51","ᩑ","tai tham letter ee"
"u/1a52","ᩒ","tai tham letter oo"
"u/1a53","ᩓ","tai tham letter lae"
"u/1a54","ᩔ","tai tham letter great sa"
"u/1a55","ᩕ","tai tham consonant sign medial ra"
"u/1a56","ᩖ","tai tham consonant sign medial la"
"u/1a57","ᩗ","tai tham consonant sign la tang lai"
"u/1a58","ᩘ","tai tham sign mai kang lai"
"u/1a59","ᩙ","tai tham consonant sign final nga"
"u/1a5a","ᩚ","tai tham consonant sign low pa"
"u/1a5b","ᩛ","tai tham consonant sign high ratha or low pa"
"u/1a5c","ᩜ","tai tham consonant sign ma"
"u/1a5d","ᩝ","tai tham consonant sign ba"
"u/1a5e","ᩞ","tai tham consonant sign sa"
"u/1a60","᩠","tai tham sign sakot"
"u/1a61","ᩡ","tai tham vowel sign a"
"u/1a62","ᩢ","tai tham vowel sign mai sat"
"u/1a63","ᩣ","tai tham vowel sign aa"
"u/1a64","ᩤ","tai tham vowel sign tall aa"
"u/1a65","ᩥ","tai tham vowel sign i"
"u/1a66","ᩦ","tai tham vowel sign ii"
"u/1a67","ᩧ","tai tham vowel sign ue"
"u/1a68","ᩨ","tai tham vowel sign uue"
"u/1a69","ᩩ","tai tham vowel sign u"
"u/1a6a","ᩪ","tai tham vowel sign uu"
"u/1a6b","ᩫ","tai tham vowel sign o"
"u/1a6c","ᩬ","tai tham vowel sign oa below"
"u/1a6d","ᩭ","tai tham vowel sign oy"
"u/1a6e","ᩮ","tai tham vowel sign e"
"u/1a6f","ᩯ","tai tham vowel sign ae"
"u/1a70","ᩰ","tai tham vowel sign oo"
"u/1a71","ᩱ","tai tham vowel sign ai"
"u/1a72","ᩲ","tai tham vowel sign tham ai"
"u/1a73","ᩳ","tai tham vowel sign oa above"
"u/1a74","ᩴ","tai tham sign mai kang"
"u/1a75","᩵","tai tham sign tone-1"
"u/1a76","᩶","tai tham sign tone-2"
"u/1a77","᩷","tai tham sign khuen tone-3"
"u/1a78","᩸","tai tham sign khuen tone-4"
"u/1a79","᩹","tai tham sign khuen tone-5"
"u/1a7a","᩺","tai tham sign ra haam"
"u/1a7b","᩻","tai tham sign mai sam"
"u/1a7c","᩼","tai tham sign khuen-lue karan"
"u/1a7f","᩿","tai tham combining cryptogrammic dot"
"u/1a80","᪀","tai tham hora digit zero"
"u/1a81","᪁","tai tham hora digit one"
"u/1a82","᪂","tai tham hora digit two"
"u/1a83","᪃","tai tham hora digit three"
"u/1a84","᪄","tai tham hora digit four"
"u/1a85","᪅","tai tham hora digit five"
"u/1a86","᪆","tai tham hora digit six"
"u/1a87","᪇","tai tham hora digit seven"
"u/1a88","᪈","tai tham hora digit eight"
"u/1a89","᪉","tai tham hora digit nine"
"u/1a90","᪐","tai tham tham digit zero"
"u/1a91","᪑","tai tham tham digit one"
"u/1a92","᪒","tai tham tham digit two"
"u/1a93","᪓","tai tham tham digit three"
"u/1a94","᪔","tai tham tham digit four"
"u/1a95","᪕","tai tham tham digit five"
"u/1a96","᪖","tai tham tham digit six"
"u/1a97","᪗","tai tham tham digit seven"
"u/1a98","᪘","tai tham tham digit eight"
"u/1a99","᪙","tai tham tham digit nine"
"u/1aa0","᪠","tai tham sign wiang"
"u/1aa1","᪡","tai tham sign wiangwaak"
"u/1aa2","᪢","tai tham sign sawan"
"u/1aa3","᪣","tai tham sign keow"
"u/1aa4","᪤","tai tham sign hoy"
"u/1aa5","᪥","tai tham sign dokmai"
"u/1aa6","᪦","tai tham sign reversed rotated rana"
"u/1aa7","ᪧ","tai tham sign mai yamok"
"u/1aa8","᪨","tai tham sign kaan"
"u/1aa9","᪩","tai tham sign kaankuu"
"u/1aaa","᪪","tai tham sign satkaan"
"u/1aab","᪫","tai tham sign satkaankuu"
"u/1aac","᪬","tai tham sign hang"
"u/1aad","᪭","tai tham sign caang"
"u/1ab0","᪰","combining doubled circumflex accent"
"u/1ab1","᪱","combining diaeresis-ring"
"u/1ab2","᪲","combining infinity"
"u/1ab3","᪳","combining downwards arrow"
"u/1ab4","᪴","combining triple dot"
"u/1ab5","᪵","combining x-x below"
"u/1ab6","᪶","combining wiggly line below"
"u/1ab7","᪷","combining open mark below"
"u/1ab8","᪸","combining double open mark below"
"u/1ab9","᪹","combining light centralization stroke below"
"u/1aba","᪺","combining strong centralization stroke below"
"u/1abb","᪻","combining parentheses above"
"u/1abc","᪼","combining double parentheses above"
"u/1abd","᪽","combining parentheses below"
"u/1abe","᪾","combining parentheses overlay"
"u/1b00","ᬀ","balinese sign ulu ricem"
"u/1b01","ᬁ","balinese sign ulu candra"
"u/1b02","ᬂ","balinese sign cecek"
"u/1b03","ᬃ","balinese sign surang"
"u/1b04","ᬄ","balinese sign bisah"
"u/1b05","ᬅ","balinese letter akara"
"u/1b06","ᬆ","balinese letter akara tedung"
"u/1b07","ᬇ","balinese letter ikara"
"u/1b08","ᬈ","balinese letter ikara tedung"
"u/1b09","ᬉ","balinese letter ukara"
"u/1b0a","ᬊ","balinese letter ukara tedung"
"u/1b0b","ᬋ","balinese letter ra repa"
"u/1b0c","ᬌ","balinese letter ra repa tedung"
"u/1b0d","ᬍ","balinese letter la lenga"
"u/1b0e","ᬎ","balinese letter la lenga tedung"
"u/1b0f","ᬏ","balinese letter ekara"
"u/1b10","ᬐ","balinese letter aikara"
"u/1b11","ᬑ","balinese letter okara"
"u/1b12","ᬒ","balinese letter okara tedung"
"u/1b13","ᬓ","balinese letter ka"
"u/1b14","ᬔ","balinese letter ka mahaprana"
"u/1b15","ᬕ","balinese letter ga"
"u/1b16","ᬖ","balinese letter ga gora"
"u/1b17","ᬗ","balinese letter nga"
"u/1b18","ᬘ","balinese letter ca"
"u/1b19","ᬙ","balinese letter ca laca"
"u/1b1a","ᬚ","balinese letter ja"
"u/1b1b","ᬛ","balinese letter ja jera"
"u/1b1c","ᬜ","balinese letter nya"
"u/1b1d","ᬝ","balinese letter ta latik"
"u/1b1e","ᬞ","balinese letter ta murda mahaprana"
"u/1b1f","ᬟ","balinese letter da murda alpaprana"
"u/1b20","ᬠ","balinese letter da murda mahaprana"
"u/1b21","ᬡ","balinese letter na rambat"
"u/1b22","ᬢ","balinese letter ta"
"u/1b23","ᬣ","balinese letter ta tawa"
"u/1b24","ᬤ","balinese letter da"
"u/1b25","ᬥ","balinese letter da madu"
"u/1b26","ᬦ","balinese letter na"
"u/1b27","ᬧ","balinese letter pa"
"u/1b28","ᬨ","balinese letter pa kapal"
"u/1b29","ᬩ","balinese letter ba"
"u/1b2a","ᬪ","balinese letter ba kembang"
"u/1b2b","ᬫ","balinese letter ma"
"u/1b2c","ᬬ","balinese letter ya"
"u/1b2d","ᬭ","balinese letter ra"
"u/1b2e","ᬮ","balinese letter la"
"u/1b2f","ᬯ","balinese letter wa"
"u/1b30","ᬰ","balinese letter sa saga"
"u/1b31","ᬱ","balinese letter sa sapa"
"u/1b32","ᬲ","balinese letter sa"
"u/1b33","ᬳ","balinese letter ha"
"u/1b34","᬴","balinese sign rerekan"
"u/1b35","ᬵ","balinese vowel sign tedung"
"u/1b36","ᬶ","balinese vowel sign ulu"
"u/1b37","ᬷ","balinese vowel sign ulu sari"
"u/1b38","ᬸ","balinese vowel sign suku"
"u/1b39","ᬹ","balinese vowel sign suku ilut"
"u/1b3a","ᬺ","balinese vowel sign ra repa"
"u/1b3b","ᬻ","balinese vowel sign ra repa tedung"
"u/1b3c","ᬼ","balinese vowel sign la lenga"
"u/1b3d","ᬽ","balinese vowel sign la lenga tedung"
"u/1b3e","ᬾ","balinese vowel sign taling"
"u/1b3f","ᬿ","balinese vowel sign taling repa"
"u/1b40","ᭀ","balinese vowel sign taling tedung"
"u/1b41","ᭁ","balinese vowel sign taling repa tedung"
"u/1b42","ᭂ","balinese vowel sign pepet"
"u/1b43","ᭃ","balinese vowel sign pepet tedung"
"u/1b44","᭄","balinese adeg adeg"
"u/1b45","ᭅ","balinese letter kaf sasak"
"u/1b46","ᭆ","balinese letter khot sasak"
"u/1b47","ᭇ","balinese letter tzir sasak"
"u/1b48","ᭈ","balinese letter ef sasak"
"u/1b49","ᭉ","balinese letter ve sasak"
"u/1b4a","ᭊ","balinese letter zal sasak"
"u/1b4b","ᭋ","balinese letter asyura sasak"
"u/1b50","᭐","balinese digit zero"
"u/1b51","᭑","balinese digit one"
"u/1b52","᭒","balinese digit two"
"u/1b53","᭓","balinese digit three"
"u/1b54","᭔","balinese digit four"
"u/1b55","᭕","balinese digit five"
"u/1b56","᭖","balinese digit six"
"u/1b57","᭗","balinese digit seven"
"u/1b58","᭘","balinese digit eight"
"u/1b59","᭙","balinese digit nine"
"u/1b5a","᭚","balinese panti"
"u/1b5b","᭛","balinese pamada"
"u/1b5c","᭜","balinese windu"
"u/1b5d","᭝","balinese carik pamungkah"
"u/1b5e","᭞","balinese carik siki"
"u/1b5f","᭟","balinese carik pareren"
"u/1b60","᭠","balinese pameneng"
"u/1b61","᭡","balinese musical symbol dong"
"u/1b62","᭢","balinese musical symbol deng"
"u/1b63","᭣","balinese musical symbol dung"
"u/1b64","᭤","balinese musical symbol dang"
"u/1b65","᭥","balinese musical symbol dang surang"
"u/1b66","᭦","balinese musical symbol ding"
"u/1b67","᭧","balinese musical symbol daeng"
"u/1b68","᭨","balinese musical symbol deung"
"u/1b69","᭩","balinese musical symbol daing"
"u/1b6a","᭪","balinese musical symbol dang gede"
"u/1b6b","᭫","balinese musical symbol combining tegeh"
"u/1b6c","᭬","balinese musical symbol combining endep"
"u/1b6d","᭭","balinese musical symbol combining kempul"
"u/1b6e","᭮","balinese musical symbol combining kempli"
"u/1b6f","᭯","balinese musical symbol combining jegogan"
"u/1b70","᭰","balinese musical symbol combining kempul with jegogan"
"u/1b71","᭱","balinese musical symbol combining kempli with jegogan"
"u/1b72","᭲","balinese musical symbol combining bende"
"u/1b73","᭳","balinese musical symbol combining gong"
"u/1b74","᭴","balinese musical symbol right-hand open dug"
"u/1b75","᭵","balinese musical symbol right-hand open dag"
"u/1b76","᭶","balinese musical symbol right-hand closed tuk"
"u/1b77","᭷","balinese musical symbol right-hand closed tak"
"u/1b78","᭸","balinese musical symbol left-hand open pang"
"u/1b79","᭹","balinese musical symbol left-hand open pung"
"u/1b7a","᭺","balinese musical symbol left-hand closed plak"
"u/1b7b","᭻","balinese musical symbol left-hand closed pluk"
"u/1b7c","᭼","balinese musical symbol left-hand open ping"
"u/1b80","ᮀ","sundanese sign panyecek"
"u/1b81","ᮁ","sundanese sign panglayar"
"u/1b82","ᮂ","sundanese sign pangwisad"
"u/1b83","ᮃ","sundanese letter a"
"u/1b84","ᮄ","sundanese letter i"
"u/1b85","ᮅ","sundanese letter u"
"u/1b86","ᮆ","sundanese letter ae"
"u/1b87","ᮇ","sundanese letter o"
"u/1b88","ᮈ","sundanese letter e"
"u/1b89","ᮉ","sundanese letter eu"
"u/1b8a","ᮊ","sundanese letter ka"
"u/1b8b","ᮋ","sundanese letter qa"
"u/1b8c","ᮌ","sundanese letter ga"
"u/1b8d","ᮍ","sundanese letter nga"
"u/1b8e","ᮎ","sundanese letter ca"
"u/1b8f","ᮏ","sundanese letter ja"
"u/1b90","ᮐ","sundanese letter za"
"u/1b91","ᮑ","sundanese letter nya"
"u/1b92","ᮒ","sundanese letter ta"
"u/1b93","ᮓ","sundanese letter da"
"u/1b94","ᮔ","sundanese letter na"
"u/1b95","ᮕ","sundanese letter pa"
"u/1b96","ᮖ","sundanese letter fa"
"u/1b97","ᮗ","sundanese letter va"
"u/1b98","ᮘ","sundanese letter ba"
"u/1b99","ᮙ","sundanese letter ma"
"u/1b9a","ᮚ","sundanese letter ya"
"u/1b9b","ᮛ","sundanese letter ra"
"u/1b9c","ᮜ","sundanese letter la"
"u/1b9d","ᮝ","sundanese letter wa"
"u/1b9e","ᮞ","sundanese letter sa"
"u/1b9f","ᮟ","sundanese letter xa"
"u/1ba0","ᮠ","sundanese letter ha"
"u/1ba1","ᮡ","sundanese consonant sign pamingkal"
"u/1ba2","ᮢ","sundanese consonant sign panyakra"
"u/1ba3","ᮣ","sundanese consonant sign panyiku"
"u/1ba4","ᮤ","sundanese vowel sign panghulu"
"u/1ba5","ᮥ","sundanese vowel sign panyuku"
"u/1ba6","ᮦ","sundanese vowel sign panaelaeng"
"u/1ba7","ᮧ","sundanese vowel sign panolong"
"u/1ba8","ᮨ","sundanese vowel sign pamepet"
"u/1ba9","ᮩ","sundanese vowel sign paneuleung"
"u/1baa","᮪","sundanese sign pamaaeh"
"u/1bab","᮫","sundanese sign virama"
"u/1bac","ᮬ","sundanese consonant sign pasangan ma"
"u/1bad","ᮭ","sundanese consonant sign pasangan wa"
"u/1bae","ᮮ","sundanese letter kha"
"u/1baf","ᮯ","sundanese letter sya"
"u/1bb0","᮰","sundanese digit zero"
"u/1bb1","᮱","sundanese digit one"
"u/1bb2","᮲","sundanese digit two"
"u/1bb3","᮳","sundanese digit three"
"u/1bb4","᮴","sundanese digit four"
"u/1bb5","᮵","sundanese digit five"
"u/1bb6","᮶","sundanese digit six"
"u/1bb7","᮷","sundanese digit seven"
"u/1bb8","᮸","sundanese digit eight"
"u/1bb9","᮹","sundanese digit nine"
"u/1bba","ᮺ","sundanese avagraha"
"u/1bbb","ᮻ","sundanese letter reu"
"u/1bbc","ᮼ","sundanese letter leu"
"u/1bbd","ᮽ","sundanese letter bha"
"u/1bbe","ᮾ","sundanese letter final k"
"u/1bbf","ᮿ","sundanese letter final m"
"u/1bc0","ᯀ","batak letter a"
"u/1bc1","ᯁ","batak letter simalungun a"
"u/1bc2","ᯂ","batak letter ha"
"u/1bc3","ᯃ","batak letter simalungun ha"
"u/1bc4","ᯄ","batak letter mandailing ha"
"u/1bc5","ᯅ","batak letter ba"
"u/1bc6","ᯆ","batak letter karo ba"
"u/1bc7","ᯇ","batak letter pa"
"u/1bc8","ᯈ","batak letter simalungun pa"
"u/1bc9","ᯉ","batak letter na"
"u/1bca","ᯊ","batak letter mandailing na"
"u/1bcb","ᯋ","batak letter wa"
"u/1bcc","ᯌ","batak letter simalungun wa"
"u/1bcd","ᯍ","batak letter pakpak wa"
"u/1bce","ᯎ","batak letter ga"
"u/1bcf","ᯏ","batak letter simalungun ga"
"u/1bd0","ᯐ","batak letter ja"
"u/1bd1","ᯑ","batak letter da"
"u/1bd2","ᯒ","batak letter ra"
"u/1bd3","ᯓ","batak letter simalungun ra"
"u/1bd4","ᯔ","batak letter ma"
"u/1bd5","ᯕ","batak letter simalungun ma"
"u/1bd6","ᯖ","batak letter southern ta"
"u/1bd7","ᯗ","batak letter northern ta"
"u/1bd8","ᯘ","batak letter sa"
"u/1bd9","ᯙ","batak letter simalungun sa"
"u/1bda","ᯚ","batak letter mandailing sa"
"u/1bdb","ᯛ","batak letter ya"
"u/1bdc","ᯜ","batak letter simalungun ya"
"u/1bdd","ᯝ","batak letter nga"
"u/1bde","ᯞ","batak letter la"
"u/1bdf","ᯟ","batak letter simalungun la"
"u/1be0","ᯠ","batak letter nya"
"u/1be1","ᯡ","batak letter ca"
"u/1be2","ᯢ","batak letter nda"
"u/1be3","ᯣ","batak letter mba"
"u/1be4","ᯤ","batak letter i"
"u/1be5","ᯥ","batak letter u"
"u/1be6","᯦","batak sign tompi"
"u/1be7","ᯧ","batak vowel sign e"
"u/1be8","ᯨ","batak vowel sign pakpak e"
"u/1be9","ᯩ","batak vowel sign ee"
"u/1bea","ᯪ","batak vowel sign i"
"u/1beb","ᯫ","batak vowel sign karo i"
"u/1bec","ᯬ","batak vowel sign o"
"u/1bed","ᯭ","batak vowel sign karo o"
"u/1bee","ᯮ","batak vowel sign u"
"u/1bef","ᯯ","batak vowel sign u for simalungun sa"
"u/1bf0","ᯰ","batak consonant sign ng"
"u/1bf1","ᯱ","batak consonant sign h"
"u/1bf2","᯲","batak pangolat"
"u/1bf3","᯳","batak panongonan"
"u/1bfc","᯼","batak symbol bindu na metek"
"u/1bfd","᯽","batak symbol bindu pinarboras"
"u/1bfe","᯾","batak symbol bindu judul"
"u/1bff","᯿","batak symbol bindu pangolat"
"u/1c00","ᰀ","lepcha letter ka"
"u/1c01","ᰁ","lepcha letter kla"
"u/1c02","ᰂ","lepcha letter kha"
"u/1c03","ᰃ","lepcha letter ga"
"u/1c04","ᰄ","lepcha letter gla"
"u/1c05","ᰅ","lepcha letter nga"
"u/1c06","ᰆ","lepcha letter ca"
"u/1c07","ᰇ","lepcha letter cha"
"u/1c08","ᰈ","lepcha letter ja"
"u/1c09","ᰉ","lepcha letter nya"
"u/1c0a","ᰊ","lepcha letter ta"
"u/1c0b","ᰋ","lepcha letter tha"
"u/1c0c","ᰌ","lepcha letter da"
"u/1c0d","ᰍ","lepcha letter na"
"u/1c0e","ᰎ","lepcha letter pa"
"u/1c0f","ᰏ","lepcha letter pla"
"u/1c10","ᰐ","lepcha letter pha"
"u/1c11","ᰑ","lepcha letter fa"
"u/1c12","ᰒ","lepcha letter fla"
"u/1c13","ᰓ","lepcha letter ba"
"u/1c14","ᰔ","lepcha letter bla"
"u/1c15","ᰕ","lepcha letter ma"
"u/1c16","ᰖ","lepcha letter mla"
"u/1c17","ᰗ","lepcha letter tsa"
"u/1c18","ᰘ","lepcha letter tsha"
"u/1c19","ᰙ","lepcha letter dza"
"u/1c1a","ᰚ","lepcha letter ya"
"u/1c1b","ᰛ","lepcha letter ra"
"u/1c1c","ᰜ","lepcha letter la"
"u/1c1d","ᰝ","lepcha letter ha"
"u/1c1e","ᰞ","lepcha letter hla"
"u/1c1f","ᰟ","lepcha letter va"
"u/1c20","ᰠ","lepcha letter sa"
"u/1c21","ᰡ","lepcha letter sha"
"u/1c22","ᰢ","lepcha letter wa"
"u/1c23","ᰣ","lepcha letter a"
"u/1c24","ᰤ","lepcha subjoined letter ya"
"u/1c25","ᰥ","lepcha subjoined letter ra"
"u/1c26","ᰦ","lepcha vowel sign aa"
"u/1c27","ᰧ","lepcha vowel sign i"
"u/1c28","ᰨ","lepcha vowel sign o"
"u/1c29","ᰩ","lepcha vowel sign oo"
"u/1c2a","ᰪ","lepcha vowel sign u"
"u/1c2b","ᰫ","lepcha vowel sign uu"
"u/1c2c","ᰬ","lepcha vowel sign e"
"u/1c2d","ᰭ","lepcha consonant sign k"
"u/1c2e","ᰮ","lepcha consonant sign m"
"u/1c2f","ᰯ","lepcha consonant sign l"
"u/1c30","ᰰ","lepcha consonant sign n"
"u/1c31","ᰱ","lepcha consonant sign p"
"u/1c32","ᰲ","lepcha consonant sign r"
"u/1c33","ᰳ","lepcha consonant sign t"
"u/1c34","ᰴ","lepcha consonant sign nyin-do"
"u/1c35","ᰵ","lepcha consonant sign kang"
"u/1c36","ᰶ","lepcha sign ran"
"u/1c37","᰷","lepcha sign nukta"
"u/1c3b","᰻","lepcha punctuation ta-rol"
"u/1c3c","᰼","lepcha punctuation nyet thyoom ta-rol"
"u/1c3d","᰽","lepcha punctuation cer-wa"
"u/1c3e","᰾","lepcha punctuation tshook cer-wa"
"u/1c3f","᰿","lepcha punctuation tshook"
"u/1c40","᱀","lepcha digit zero"
"u/1c41","᱁","lepcha digit one"
"u/1c42","᱂","lepcha digit two"
"u/1c43","᱃","lepcha digit three"
"u/1c44","᱄","lepcha digit four"
"u/1c45","᱅","lepcha digit five"
"u/1c46","᱆","lepcha digit six"
"u/1c47","᱇","lepcha digit seven"
"u/1c48","᱈","lepcha digit eight"
"u/1c49","᱉","lepcha digit nine"
"u/1c4d","ᱍ","lepcha letter tta"
"u/1c4e","ᱎ","lepcha letter ttha"
"u/1c4f","ᱏ","lepcha letter dda"
"u/1c50","᱐","ol chiki digit zero"
"u/1c51","᱑","ol chiki digit one"
"u/1c52","᱒","ol chiki digit two"
"u/1c53","᱓","ol chiki digit three"
"u/1c54","᱔","ol chiki digit four"
"u/1c55","᱕","ol chiki digit five"
"u/1c56","᱖","ol chiki digit six"
"u/1c57","᱗","ol chiki digit seven"
"u/1c58","᱘","ol chiki digit eight"
"u/1c59","᱙","ol chiki digit nine"
"u/1c5a","ᱚ","ol chiki letter la"
"u/1c5b","ᱛ","ol chiki letter at"
"u/1c5c","ᱜ","ol chiki letter ag"
"u/1c5d","ᱝ","ol chiki letter ang"
"u/1c5e","ᱞ","ol chiki letter al"
"u/1c5f","ᱟ","ol chiki letter laa"
"u/1c60","ᱠ","ol chiki letter aak"
"u/1c61","ᱡ","ol chiki letter aaj"
"u/1c62","ᱢ","ol chiki letter aam"
"u/1c63","ᱣ","ol chiki letter aaw"
"u/1c64","ᱤ","ol chiki letter li"
"u/1c65","ᱥ","ol chiki letter is"
"u/1c66","ᱦ","ol chiki letter ih"
"u/1c67","ᱧ","ol chiki letter iny"
"u/1c68","ᱨ","ol chiki letter ir"
"u/1c69","ᱩ","ol chiki letter lu"
"u/1c6a","ᱪ","ol chiki letter uc"
"u/1c6b","ᱫ","ol chiki letter ud"
"u/1c6c","ᱬ","ol chiki letter unn"
"u/1c6d","ᱭ","ol chiki letter uy"
