iclabel,glyph,strokeorder,strokecount
A:u-----:0000a7:§,§,5,1
A:uc0---:004e00:一,一,1,1
A:uc0---:004e01:丁,丁,12,2
A:uc0---:004e02:丂,丂,15,2
A:uc0---:004e03:七,七,15,2
A:uc0---:004e04:丄,丄,21,2
A:uc0---:004e05:丅,丅,12,2
A:uc0---:004e06:丆,丆,13,2
A:uc0---:004e07:万,万,153,3
A:uc0---:004e08:丈,丈,134,3
A:uc0---:004e09:三,三,111,3
A:uc0---:004e0a:上,上,211,3
A:uc0---:004e0b:下,下,124,3
A:uc0---:004e0c:丌,丌,132,3
A:uc0---:004e0d:不,不,1324,4
A:uc0---:004e0e:与,与,151,3
A:uc0---:004e0f:丏,丏,1255,4
A:uc0---:004e10:丐,丐,1215,4
A:uc0---:004e11:丑,丑,5211,4
A:uc0---:004e12:丒,丒,5341,4
A:uc0---:004e13:专,专,1154,4
A:uc0---:004e14:且,且,25111,5
A:uc0---:004e15:丕,丕,13241,5
A:uc0---:004e16:世,世,12215,5
A:uc0---:004e17:丗,丗,12221,5
A:uc0---:004e18:丘,丘,32121,5
A:uc0---:004e19:丙,丙,12534,5
A:uc0---:004e1a:业,业,22431,5
A:uc0---:004e1b:丛,丛,34341,5
A:uc0---:004e1c:东,东,15234,5
A:uc0---:004e1d:丝,丝,55551,5
A:uc0---:004e1e:丞,丞,525341,6
A:uc0---:004e1f:丟,丟,112154,6
A:uc0---:004e20:丠,丠,211351,6
A:uc0---:004e21:両,両,125252,6
A:uc0---:004e22:丢,丢,312154,6
A:uc0---:004e23:丣,丣,1315251,7
A:uc0---:004e24:两,两,1253434,7
A:uc0---:004e25:严,严,1224313,7
A:uc0---:004e26:並,並,43122431,8
A:uc0---:004e27:丧,丧,12431534,8
A:uc0---:004e28:丨,丨,2,1
A:uc0---:004e29:丩,丩,25,2
A:uc0---:004e2a:个,个,342,3
A:uc0---:004e2b:丫,丫,432,3
A:uc0---:004e2c:丬,丬,412,3
A:uc0---:004e2d:中,中,2512,4
A:uc0---:004e2e:丮,丮,5112,4
A:uc0---:004e2f:丯,丯,3332,4
A:uc0---:004e30:丰,丰,1112,4
A:uc0---:004e31:丱,丱,53212,5
A:uc0---:004e32:串,串,2512512,7
A:uc0---:004e33:丳,丳,25125132,8
A:uc0---:004e34:临,临,223142521,9
A:uc0---:004e35:丵,丵,2243143112,10
A:uc0---:004e36:丶,丶,4,1
A:uc0---:004e37:丷,丷,43,2
A:uc0---:004e38:丸,丸,354,3
A:uc0---:004e39:丹,丹,3541,4
A:uc0---:004e3a:为,为,4354,4
A:uc0---:004e3b:主,主,41121,5
A:uc0---:004e3c:丼,丼,11324,5
A:uc0---:004e3d:丽,丽,1254254,7
A:uc0---:004e3e:举,举,443134112,9
A:uc0---:004e3f:丿,丿,3,1
A:uc0---:004e40:乀,乀,4,1
A:uc0---:004e41:乁,乁,5,1
A:uc0---:004e42:乂,乂,34,2
A:uc0---:004e43:乃,乃,53,2
A:uc0---:004e44:乄,乄,54,2
A:uc0---:004e45:久,久,354,3
A:uc0---:004e46:乆,乆,534,3
A:uc0---:004e47:乇,乇,315,3
A:uc0---:004e48:么,么,354,3
A:uc0---:004e49:义,义,434,3
A:uc0---:004e4a:乊,乊,343,3
A:uc0---:004e4b:之,之,454,3
A:uc0---:004e4c:乌,乌,3551,4
A:uc0---:004e4d:乍,乍,31211,5
A:uc0---:004e4e:乎,乎,34312,5
A:uc0---:004e4f:乏,乏,3454,4
A:uc0---:004e50:乐,乐,35234,5
A:uc0---:004e51:乑,乑,323334,6
A:uc0---:004e52:乒,乒,321213,6
A:uc0---:004e53:乓,乓,321214,6
A:uc0---:004e54:乔,乔,313432,6
A:uc0---:004e55:乕,乕,3311252,7
A:uc0---:004e56:乖,乖,31221135,8
A:uc0---:004e57:乗,乗,311221234,9
A:uc0---:004e58:乘,乘,3122113534,10
A:uc0---:004e59:乙,乙,5,1
A:uc0---:004e5a:乚,乚,5,1
A:uc0---:004e5b:乛,乛,5,1
A:uc0---:004e5c:乜,乜,55,2
A:uc0---:004e5d:九,九,35,2
A:uc0---:004e5e:乞,乞,315,3
A:uc0---:004e5f:也,也,525,3
A:uc0---:004e60:习,习,541,3
A:uc0---:004e61:乡,乡,553,3
A:uc0---:004e62:乢,乢,2525,4
A:uc0---:004e63:乣,乣,5545,4
A:uc0---:004e64:乤,乤,1245,4
A:uc0---:004e65:乥,乥,3435,4
A:uc0---:004e66:书,书,5524,4
A:uc0---:004e67:乧,乧,44125,5
A:uc0---:004e68:乨,乨,542515,6
A:uc0---:004e69:乩,乩,212515,6
A:uc0---:004e6a:乪,乪,525121,6
A:uc0---:004e6b:乫,乫,532515,6
A:uc0---:004e6c:乬,乬,125115,6
A:uc0---:004e6d:乭,乭,132515,6
A:uc0---:004e6e:乮,乮,353525,6
A:uc0---:004e6f:乯,乯,343125,6
A:uc0---:004e70:买,买,544134,6
A:uc0---:004e71:乱,乱,3122515,7
A:uc0---:004e72:乲,乲,4135345,7
A:uc0---:004e73:乳,乳,34435215,8
A:uc0---:004e74:乴,乴,12133125,8
A:uc0---:004e75:乵,乵,41431125,8
A:uc0---:004e76:乶,乶,12511245,8
A:uc0---:004e77:乷,乷,44123435,8
A:uc0---:004e78:乸,乸,52555414,8
A:uc0---:004e79:乹,乹,122511125,9
A:uc0---:004e7a:乺,乺,335133125,9
A:uc0---:004e7b:乻,乻,415334445,9
A:uc0---:004e7c:乼,乼,441411215,9
A:uc0---:004e7d:乽,乽,121325115,9
A:uc0---:004e7e:乾,乾,12251112315,11
A:uc0---:004e7f:乿,乿,34435542345,11
A:uc0---:004e80:亀,亀,35251125115,11
A:uc0---:004e81:亁,亁,122511112315,12
A:uc0---:004e82:亂,亂,3443542554545,13
A:uc0---:004e83:亃,亃,4312343541525,13
A:uc0---:004e84:亄,亄,1214512514315,13
A:uc0---:004e85:亅,亅,2,1
A:uc0---:004e86:了,了,5,1
A:uc0---:004e87:亇,亇,352,3
A:uc0---:004e88:予,予,5452,4
A:uc0---:004e89:争,争,355112,6
A:uc0---:004e8a:亊,亊,1435112,7
A:uc0---:004e8b:事,事,12515112,8
A:uc0---:004e8c:二,二,11,2
A:uc0---:004e8d:亍,亍,112,3
A:uc0---:004e8e:于,于,112,3
A:uc0---:004e8f:亏,亏,115,3
A:uc0---:004e90:亐,亐,115,3
A:uc0---:004e91:云,云,1154,4
A:uc0---:004e92:互,互,1551,4
A:uc0---:004e93:亓,亓,1132,4
A:uc0---:004e94:五,五,1251,4
A:uc0---:004e95:井,井,1132,4
A:uc0---:004e96:亖,亖,1111,4
A:uc0---:004e97:亗,亗,25211,5
A:uc0---:004e98:亘,亘,125111,6
A:uc0---:004e99:亙,亙,125441,6
A:uc0---:004e9a:亚,亚,122431,6
A:uc0---:004e9b:些,些,21213511,8
A:uc0---:004e9c:亜,亜,1251221,7
A:uc0---:004e9d:亝,亝,54545411,8
A:uc0---:004e9e:亞,亞,12155121,8
A:uc0---:004e9f:亟,亟,15251541,8
A:uc0---:004ea0:亠,亠,41,2
A:uc0---:004ea1:亡,亡,415,3
A:uc0---:004ea2:亢,亢,4135,4
A:uc0---:004ea3:亣,亣,4132,4
A:uc0---:004ea4:交,交,413434,6
A:uc0---:004ea5:亥,亥,415334,6
A:uc0---:004ea6:亦,亦,413234,6
A:uc0---:004ea7:产,产,414313,6
A:uc0---:004ea8:亨,亨,4125152,7
A:uc0---:004ea9:亩,亩,4125121,7
A:uc0---:004eaa:亪,亪,4132345,7
A:uc0---:004eab:享,享,41251521,8
A:uc0---:004eac:京,京,41251234,8
A:uc0---:004ead:亭,亭,412514512,9
A:uc0---:004eae:亮,亮,412514535,9
A:uc0---:004eaf:亯,亯,412512511,9
A:uc0---:004eb0:亰,亰,412511234,9
A:uc0---:004eb1:亱,亱,413225111,9
A:uc0---:004eb2:亲,亲,414311234,9
A:uc0---:004eb3:亳,亳,4125145315,10
A:uc0---:004eb4:亴,亴,412514512135,12
A:uc0---:004eb5:亵,亵,411213543534,12
A:uc0---:004eb6:亶,亶,4125251125111,13
A:uc0---:004eb7:亷,亷,4143135112234,13
A:uc0---:004eb8:亸,亸,4125152143251112,16
A:uc0---:004eb9:亹,亹,4132112512515114525111,22
A:uc0---:004eba:人,人,34,2
A:uc0---:004ebb:亻,亻,32,2
A:uc0---:004ebc:亼,亼,341,3
A:uc0---:004ebd:亽,亽,344,3
A:uc0---:004ebe:亾,亾,345,3
A:uc0---:004ebf:亿,亿,325,3
A:uc0---:004ec0:什,什,3212,4
A:uc0---:004ec1:仁,仁,3211,4
A:uc0---:004ec2:仂,仂,3253,4
A:uc0---:004ec3:仃,仃,3212,4
A:uc0---:004ec4:仄,仄,1334,4
A:uc0---:004ec5:仅,仅,3254,4
A:uc0---:004ec6:仆,仆,3224,4
A:uc0---:004ec7:仇,仇,3235,4
A:uc0---:004ec8:仈,仈,3234,4
A:uc0---:004ec9:仉,仉,3235,4
A:uc0---:004eca:今,今,3445,4
A:uc0---:004ecb:介,介,3432,4
A:uc0---:004ecc:仌,仌,3434,4
A:uc0---:004ecd:仍,仍,3253,4
A:uc0---:004ece:从,从,3434,4
A:uc0---:004ecf:仏,仏,3254,4
A:uc0---:004ed0:仐,仐,3412,4
A:uc0---:004ed1:仑,仑,3435,4
A:uc0---:004ed2:仒,仒,3444,4
A:uc0---:004ed3:仓,仓,3455,4
A:uc0---:004ed4:仔,仔,32521,5
A:uc0---:004ed5:仕,仕,32121,5
A:uc0---:004ed6:他,他,32525,5
A:uc0---:004ed7:仗,仗,32134,5
A:uc0---:004ed8:付,付,32124,5
A:uc0---:004ed9:仙,仙,32252,5
A:uc0---:004eda:仚,仚,34252,5
A:uc0---:004edb:仛,仛,32315,5
A:uc0---:004edc:仜,仜,32121,5
A:uc0---:004edd:仝,仝,34121,5
A:uc0---:004ede:仞,仞,32534,5
A:uc0---:004edf:仟,仟,32312,5
A:uc0---:004ee0:仠,仠,32112,5
A:uc0---:004ee1:仡,仡,32315,5
A:uc0---:004ee2:仢,仢,32354,5
A:uc0---:004ee3:代,代,32154,5
A:uc0---:004ee4:令,令,34454,5
A:uc0---:004ee5:以,以,5434,4
A:uc0---:004ee6:仦,仦,32234,5
A:uc0---:004ee7:仧,仧,21134,5
A:uc0---:004ee8:仨,仨,32111,5
A:uc0---:004ee9:仩,仩,32211,5
A:uc0---:004eea:仪,仪,32434,5
A:uc0---:004eeb:仫,仫,32354,5
A:uc0---:004eec:们,们,32425,5
A:uc0---:004eed:仭,仭,32534,5
A:uc0---:004eee:仮,仮,323354,6
A:uc0---:004eef:仯,仯,322343,6
A:uc0---:004ef0:仰,仰,323552,6
A:uc0---:004ef1:仱,仱,323445,6
A:uc0---:004ef2:仲,仲,322512,6
A:uc0---:004ef3:仳,仳,321535,6
A:uc0---:004ef4:仴,仴,323511,6
A:uc0---:004ef5:仵,仵,323112,6
A:uc0---:004ef6:件,件,323112,6
A:uc0---:004ef7:价,价,323432,6
A:uc0---:004ef8:仸,仸,323134,6
A:uc0---:004ef9:仹,仹,321112,6
A:uc0---:004efa:仺,仺,34151,5
A:uc0---:004efb:任,任,323121,6
A:uc0---:004efc:仼,仼,321121,6
A:uc0---:004efd:份,份,323453,6
A:uc0---:004efe:仾,仾,321551,6
A:uc0---:004eff:仿,仿,324153,6
A:uc0---:004f00:伀,伀,323454,6
A:uc0---:004f01:企,企,342121,6
A:uc0---:004f02:伂,伂,321252,6
A:uc0---:004f03:伃,伃,325452,6
A:uc0---:004f04:伄,伄,325152,6
A:uc0---:004f05:伅,伅,321525,6
A:uc0---:004f06:伆,伆,323533,6
A:uc0---:004f07:伇,伇,323554,6
A:uc0---:004f08:伈,伈,324544,6
A:uc0---:004f09:伉,伉,324135,6
A:uc0---:004f0a:伊,伊,325113,6
A:uc0---:004f0b:伋,伋,32354,5
A:uc0---:004f0c:伌,伌,321355,6
A:uc0---:004f0d:伍,伍,321251,6
A:uc0---:004f0e:伎,伎,321254,6
A:uc0---:004f0f:伏,伏,321344,6
A:uc0---:004f10:伐,伐,321534,6
A:uc0---:004f11:休,休,321234,6
A:uc0---:004f12:伒,伒,323312,6
A:uc0---:004f13:伓,伓,321324,6
A:uc0---:004f14:伔,伔,324535,6
A:uc0---:004f15:伕,伕,321134,6
A:uc0---:004f16:伖,伖,321354,6
A:uc0---:004f17:众,众,343434,6
A:uc0---:004f18:优,优,321354,6
A:uc0---:004f19:伙,伙,324334,6
A:uc0---:004f1a:会,会,341154,6
A:uc0---:004f1b:伛,伛,321345,6
A:uc0---:004f1c:伜,伜,323512,6
A:uc0---:004f1d:伝,伝,321154,6
A:uc0---:004f1e:伞,伞,344312,6
A:uc0---:004f1f:伟,伟,321152,6
A:uc0---:004f20:传,传,321154,6
A:uc0---:004f21:伡,伡,321512,6
A:uc0---:004f22:伢,伢,321523,6
A:uc0---:004f23:伣,伣,322535,6
A:uc0---:004f24:伤,伤,323153,6
A:uc0---:004f25:伥,伥,323154,6
A:uc0---:004f26:伦,伦,323435,6
A:uc0---:004f27:伧,伧,323455,6
A:uc0---:004f28:伨,伨,323541,6
A:uc0---:004f29:伩,伩,324134,6
A:uc0---:004f2a:伪,伪,324354,6
A:uc0---:004f2b:伫,伫,324451,6
A:uc0---:004f2c:伬,伬,325134,6
A:uc0---:004f2d:伭,伭,3241554,7
A:uc0---:004f2e:伮,伮,3253154,7
A:uc0---:004f2f:伯,伯,3232511,7
A:uc0---:004f30:估,估,3212251,7
A:uc0---:004f31:伱,伱,3234234,7
A:uc0---:004f32:伲,伲,3251335,7
A:uc0---:004f33:伳,伳,3212215,7
A:uc0---:004f34:伴,伴,3243112,7
A:uc0---:004f35:伵,伵,3225351,7
A:uc0---:004f36:伶,伶,3234454,7
A:uc0---:004f37:伷,伷,3225121,7
A:uc0---:004f38:伸,伸,3225112,7
A:uc0---:004f39:伹,伹,3225111,7
A:uc0---:004f3a:伺,伺,3251251,7
A:uc0---:004f3b:伻,伻,3214312,7
A:uc0---:004f3c:似,似,325434,6
A:uc0---:004f3d:伽,伽,3253251,7
A:uc0---:004f3e:伾,伾,3213241,7
A:uc0---:004f3f:伿,伿,3225134,7
A:uc0---:004f40:佀,佀,3225151,7
A:uc0---:004f41:佁,佁,3254251,7
A:uc0---:004f42:佂,佂,3212121,7
A:uc0---:004f43:佃,佃,3225121,7
A:uc0---:004f44:佄,佄,3212211,7
A:uc0---:004f45:佅,佅,3211234,7
A:uc0---:004f46:但,但,3225111,7
A:uc0---:004f47:佇,佇,3244512,7
A:uc0---:004f48:佈,佈,3213252,7
A:uc0---:004f49:佉,佉,3212154,7
A:uc0---:004f4a:佊,佊,3253254,7
A:uc0---:004f4b:佋,佋,3253251,7
A:uc0---:004f4c:佌,佌,32212135,8
A:uc0---:004f4d:位,位,3241431,7
A:uc0---:004f4e:低,低,3235154,7
A:uc0---:004f4f:住,住,3241121,7
A:uc0---:004f50:佐,佐,3213121,7
A:uc0---:004f51:佑,佑,3213251,7
A:uc0---:004f52:佒,佒,3225134,7
A:uc0---:004f53:体,体,3212341,7
A:uc0---:004f54:佔,佔,3221251,7
A:uc0---:004f55:何,何,3212512,7
A:uc0---:004f56:佖,佖,3245434,7
A:uc0---:004f57:佗,佗,3244535,7
A:uc0---:004f58:佘,佘,3411234,7
A:uc0---:004f59:余,余,3411234,7
A:uc0---:004f5a:佚,佚,3231134,7
A:uc0---:004f5b:佛,佛,3251532,7
A:uc0---:004f5c:作,作,3231211,7
A:uc0---:004f5d:佝,佝,3235251,7
A:uc0---:004f5e:佞,佞,3211531,7
A:uc0---:004f5f:佟,佟,3235444,7
A:uc0---:004f60:你,你,3235234,7
A:uc0---:004f61:佡,佡,3234252,7
A:uc0---:004f62:佢,佢,321515,6
A:uc0---:004f63:佣,佣,3235112,7
A:uc0---:004f64:佤,佤,321554,6
A:uc0---:004f65:佥,佥,3414431,7
A:uc0---:004f66:佦,佦,3213251,7
A:uc0---:004f67:佧,佧,3221124,7
A:uc0---:004f68:佨,佨,3235515,7
A:uc0---:004f69:佩,佩,32351252,8
A:uc0---:004f6a:佪,佪,32252511,8
A:uc0---:004f6b:佫,佫,32354251,8
A:uc0---:004f6c:佬,佬,32121335,8
A:uc0---:004f6d:佭,佭,32354152,8
A:uc0---:004f6e:佮,佮,32341251,8
A:uc0---:004f6f:佯,佯,32431112,8
A:uc0---:004f70:佰,佰,32132511,8
A:uc0---:004f71:佱,佱,34112121,8
A:uc0---:004f72:佲,佲,32354251,8
A:uc0---:004f73:佳,佳,32121121,8
A:uc0---:004f74:佴,佴,32122111,8
A:uc0---:004f75:併,併,32431132,8
A:uc0---:004f76:佶,佶,32121251,8
A:uc0---:004f77:佷,佷,32511534,8
A:uc0---:004f78:佸,佸,32312251,8
A:uc0---:004f79:佹,佹,32351355,8
A:uc0---:004f7a:佺,佺,32341121,8
A:uc0---:004f7b:佻,佻,32341534,8
A:uc0---:004f7c:佼,佼,32413434,8
A:uc0---:004f7d:佽,佽,32413534,8
A:uc0---:004f7e:佾,佾,32342511,8
A:uc0---:004f7f:使,使,32125134,8
A:uc0---:004f80:侀,侀,32113222,8
A:uc0---:004f81:侁,侁,32312135,8
A:uc0---:004f82:侂,侂,32413315,8
A:uc0---:004f83:侃,侃,32251325,8
A:uc0---:004f84:侄,侄,32154121,8
A:uc0---:004f85:侅,侅,32415334,8
A:uc0---:004f86:來,來,13434234,8
A:uc0---:004f87:侇,侇,32151534,8
A:uc0---:004f88:侈,侈,32354354,8
A:uc0---:004f89:侉,侉,32134115,8
A:uc0---:004f8a:侊,侊,32243135,8
A:uc0---:004f8b:例,例,32135422,8
A:uc0---:004f8c:侌,侌,34451154,8
A:uc0---:004f8d:侍,侍,32121124,8
A:uc0---:004f8e:侎,侎,32431234,8
A:uc0---:004f8f:侏,侏,32311234,8
A:uc0---:004f90:侐,侐,32325221,8
A:uc0---:004f91:侑,侑,32132511,8
A:uc0---:004f92:侒,侒,32445531,8
A:uc0---:004f93:侓,侓,32511112,8
A:uc0---:004f94:侔,侔,32543112,8
A:uc0---:004f95:侕,侕,32132522,8
A:uc0---:004f96:侖,侖,34125122,8
A:uc0---:004f97:侗,侗,32251251,8
A:uc0---:004f98:侘,侘,32445315,8
A:uc0---:004f99:侙,侙,32112154,8
A:uc0---:004f9a:侚,侚,32352511,8
A:uc0---:004f9b:供,供,32122134,8
A:uc0---:004f9c:侜,侜,32335414,8
A:uc0---:004f9d:依,依,32413534,8
A:uc0---:004f9e:侞,侞,32531251,8
A:uc0---:004f9f:侟,侟,32132521,8
A:uc0---:004fa0:侠,侠,32143134,8
A:uc0---:004fa1:価,価,32125221,8
A:uc0---:004fa2:侢,侢,32125211,8
A:uc0---:004fa3:侣,侣,32251251,8
A:uc0---:004fa4:侤,侤,32121315,8
A:uc0---:004fa5:侥,侥,32153135,8
A:uc0---:004fa6:侦,侦,32212534,8
A:uc0---:004fa7:侧,侧,32253422,8
A:uc0---:004fa8:侨,侨,32313432,8
A:uc0---:004fa9:侩,侩,32341154,8
A:uc0---:004faa:侪,侪,32413432,8
A:uc0---:004fab:侫,侫,32415531,8
A:uc0---:004fac:侬,侬,32453534,8
A:uc0---:004fad:侭,侭,32513444,8
A:uc0---:004fae:侮,侮,323155414,9
A:uc0---:004faf:侯,侯,325131134,9
A:uc0---:004fb0:侰,侰,325113251,9
A:uc0---:004fb1:侱,侱,322511121,9
A:uc0---:004fb2:侲,侲,321311534,9
A:uc0---:004fb3:侳,侳,323434121,9
A:uc0---:004fb4:侴,侴,341521122,9
A:uc0---:004fb5:侵,侵,325114554,9
A:uc0---:004fb6:侶,侶,322513251,9
A:uc0---:004fb7:侷,侷,325135251,9
A:uc0---:004fb8:侸,侸,321251431,9
A:uc0---:004fb9:侹,侹,32312154,8
A:uc0---:004fba:侺,侺,322523445,9
A:uc0---:004fbb:侻,侻,324325135,9
A:uc0---:004fbc:侼,侼,321245521,9
A:uc0---:004fbd:侽,侽,322512153,9
A:uc0---:004fbe:侾,侾,321213521,9
A:uc0---:004fbf:便,便,321251134,9
A:uc0---:004fc0:俀,俀,323443531,9
A:uc0---:004fc1:俁,俁,322515134,9
A:uc0---:004fc2:係,係,323554234,9
A:uc0---:004fc3:促,促,322512134,9
A:uc0---:004fc4:俄,俄,323121534,9
A:uc0---:004fc5:俅,俅,321241344,9
A:uc0---:004fc6:俆,俆,323411234,9
A:uc0---:004fc7:俇,俇,323531121,9
A:uc0---:004fc8:俈,俈,323121251,9
A:uc0---:004fc9:俉,俉,321251251,9
A:uc0---:004fca:俊,俊,325434354,9
A:uc0---:004fcb:俋,俋,322515215,9
A:uc0---:004fcc:俌,俌,321251124,9
A:uc0---:004fcd:俍,俍,324511534,9
A:uc0---:004fce:俎,俎,343425111,9
A:uc0---:004fcf:俏,俏,322432511,9
A:uc0---:004fd0:俐,俐,323123422,9
A:uc0---:004fd1:俑,俑,325425112,9
A:uc0---:004fd2:俒,俒,324451135,9
A:uc0---:004fd3:俓,俓,321555121,9
A:uc0---:004fd4:俔,俔,322511135,9
A:uc0---:004fd5:俕,俕,324451234,9
A:uc0---:004fd6:俖,俖,321324251,9
A:uc0---:004fd7:俗,俗,323434251,9
A:uc0---:004fd8:俘,俘,323443521,9
A:uc0---:004fd9:俙,俙,323413251,9
A:uc0---:004fda:俚,俚,322511211,9
A:uc0---:004fdb:俛,俛,323525135,9
A:uc0---:004fdc:俜,俜,322512115,9
A:uc0---:004fdd:保,保,322511234,9
A:uc0---:004fde:俞,俞,341251122,9
A:uc0---:004fdf:俟,俟,325431134,9
A:uc0---:004fe0:俠,俠,321343434,9
A:uc0---:004fe1:信,信,324111251,9
A:uc0---:004fe2:俢,俢,32354333,8
A:uc0---:004fe3:俣,俣,322511134,9
A:uc0---:004fe4:俤,俤,324351523,9
A:uc0---:004fe5:俥,俥,321251112,9
A:uc0---:004fe6:俦,俦,321113124,9
A:uc0---:004fe7:俧,俧,321214544,9
A:uc0---:004fe8:俨,俨,321224313,9
A:uc0---:004fe9:俩,俩,321253434,9
A:uc0---:004fea:俪,俪,321254254,9
A:uc0---:004feb:俫,俫,321431234,9
A:uc0---:004fec:俬,俬,323123454,9
A:uc0---:004fed:俭,俭,323414431,9
A:uc0---:004fee:修,修,322354333,9
A:uc0---:004fef:俯,俯,3241332124,10
A:uc0---:004ff0:俰,俰,3231234251,10
A:uc0---:004ff1:俱,俱,3225111134,10
A:uc0---:004ff2:俲,俲,3241343453,10
A:uc0---:004ff3:俳,俳,3222111111,10
A:uc0---:004ff4:俴,俴,3215341534,10
A:uc0---:004ff5:俵,俵,3211213534,10
A:uc0---:004ff6:俶,俶,3221123454,10
A:uc0---:004ff7:俷,俷,3235115215,10
A:uc0---:004ff8:俸,俸,3211134112,10
A:uc0---:004ff9:俹,俹,3212155121,10
A:uc0---:004ffa:俺,俺,3213425115,10
A:uc0---:004ffb:俻,俻,3235425121,10
A:uc0---:004ffc:俼,俼,3241542511,10
A:uc0---:004ffd:俽,俽,3233123534,10
A:uc0---:004ffe:俾,俾,3232511312,10
A:uc0---:004fff:俿,俿,3221531535,10
A:uc0---:005000:倀,倀,3212111534,10
A:uc0---:005001:倁,倁,3231134251,10
A:uc0---:005002:倂,倂,3231133112,10
A:uc0---:005003:倃,倃,3235424251,10
A:uc0---:005004:倄,倄,3234132511,10
A:uc0---:005005:倅,倅,3241343412,10
A:uc0---:005006:倆,倆,3212523434,10
A:uc0---:005007:倇,倇,3244535455,10
A:uc0---:005008:倈,倈,3213434234,10
A:uc0---:005009:倉,倉,3445113251,10
A:uc0---:00500a:倊,倊,3234544544,10
A:uc0---:00500b:個,個,3225122511,10
A:uc0---:00500c:倌,倌,3244525151,10
A:uc0---:00500d:倍,倍,3241431251,10
A:uc0---:00500e:倎,倎,3225122134,10
A:uc0---:00500f:倏,倏,3223541344,10
A:uc0---:005010:倐,倐,3223544334,10
A:uc0---:005011:們,們,3225112511,10
A:uc0---:005012:倒,倒,3215412122,10
A:uc0---:005013:倓,倓,3243344334,10
A:uc0---:005014:倔,倔,3251352252,10
A:uc0---:005015:倕,倕,3231212211,10
A:uc0---:005016:倖,倖,3212143112,10
A:uc0---:005017:倗,倗,3235113511,10
A:uc0---:005018:倘,倘,3224325251,10
A:uc0---:005019:候,候,3225131134,10
A:uc0---:00501a:倚,倚,3213412512,10
A:uc0---:00501b:倛,倛,3212211134,10
A:uc0---:00501c:倜,倜,3235121251,10
A:uc0---:00501d:倝,倝,1225111234,10
A:uc0---:00501e:倞,倞,3241251234,10
A:uc0---:00501f:借,借,3212212511,10
A:uc0---:005020:倠,倠,3232411121,10
A:uc0---:005021:倡,倡,3225112511,10
A:uc0---:005022:倢,倢,3215112134,10
A:uc0---:005023:倣,倣,3241533134,10
A:uc0---:005024:値,値,3212251115,10
A:uc0---:005025:倥,倥,3244534121,10
A:uc0---:005026:倦,倦,3243113455,10
A:uc0---:005027:倧,倧,3244511234,10
A:uc0---:005028:倨,倨,3251312251,10
A:uc0---:005029:倩,倩,3211212511,10
A:uc0---:00502a:倪,倪,3232151135,10
A:uc0---:00502b:倫,倫,3234125122,10
A:uc0---:00502c:倬,倬,3221251112,10
A:uc0---:00502d:倭,倭,3231234531,10
A:uc0---:00502e:倮,倮,3225111234,10
A:uc0---:00502f:倯,倯,3212343454,10
A:uc0---:005030:倰,倰,3212134354,10
A:uc0---:005031:倱,倱,3225111535,10
A:uc0---:005032:倲,倲,3212511234,10
A:uc0---:005033:倳,倳,3212515112,10
A:uc0---:005034:倴,倴,3213412132,10
A:uc0---:005035:倵,倵,3211212154,10
A:uc0---:005036:倶,倶,3225111134,10
A:uc0---:005037:倷,倷,3213411234,10
A:uc0---:005038:倸,倸,3234431234,10
A:uc0---:005039:倹,倹,3234125134,10
A:uc0---:00503a:债,债,3211212534,10
A:uc0---:00503b:倻,倻,3212211152,10
A:uc0---:00503c:值,值,3212251111,10
A:uc0---:00503d:倽,倽,3234112251,10
A:uc0---:00503e:倾,倾,3215132534,10
A:uc0---:00503f:倿,倿,3241431531,10
A:uc0---:005040:偀,偀,3212225134,10
A:uc0---:005041:偁,偁,32344325211,11
A:uc0---:005042:偂,偂,32431251122,11
A:uc0---:005043:偃,偃,32125115315,11
A:uc0---:005044:偄,偄,32132522134,11
A:uc0---:005045:偅,偅,32312511211,11
A:uc0---:005046:偆,偆,32111342511,11
A:uc0---:005047:假,假,32512115154,11
A:uc0---:005048:偈,偈,32251135345,11
A:uc0---:005049:偉,偉,32521251152,11
A:uc0---:00504a:偊,偊,32325125214,11
A:uc0---:00504b:偋,偋,32513431132,11
A:uc0---:00504c:偌,偌,3212213251,10
A:uc0---:00504d:偍,偍,32251112134,11
A:uc0---:00504e:偎,偎,32251211534,11
A:uc0---:00504f:偏,偏,32451325122,11
A:uc0---:005050:偐,偐,32414313333,11
A:uc0---:005051:偑,偑,32353251214,11
A:uc0---:005052:偒,偒,32251113533,11
A:uc0---:005053:偓,偓,32513154121,11
A:uc0---:005054:偔,偔,32251251115,11
A:uc0---:005055:偕,偕,32153532511,11
A:uc0---:005056:偖,偖,3212132511,10
A:uc0---:005057:偗,偗,32234325111,11
A:uc0---:005058:偘,偘,32251251251,11
A:uc0---:005059:偙,偙,32414345252,11
A:uc0---:00505a:做,做,32122513134,11
A:uc0---:00505b:偛,偛,32312321511,11
A:uc0---:00505c:停,停,32412514512,11
A:uc0---:00505d:偝,偝,32211352511,11
A:uc0---:00505e:偞,偞,32122151234,11
A:uc0---:00505f:偟,偟,32325111121,11
A:uc0---:005060:偠,偠,32125221531,11
A:uc0---:005061:偡,偡,32122111345,11
A:uc0---:005062:偢,偢,32312344334,11
A:uc0---:005063:偣,偣,32414312511,11
A:uc0---:005064:偤,偤,32431253511,11
A:uc0---:005065:健,健,3251111254,10
